regio1,baseRent_mean,baseRent_median
Baden_Württemberg,899.0976930483343,850.0
Bayern,890.8048685309874,800.0
Berlin,1030.949764017749,900.0
Brandenburg,457.64762942779294,381.1
Bremen,569.4894915848528,492.0
Hamburg,1081.064159933129,990.0
Hessen,872.8108714058917,800.0
Mecklenburg_Vorpommern,358.1912902690136,331.0
Niedersachsen,552.9670988470988,502.0
Nordrhein_Westfalen,527.2529814890431,470.0
Rheinland_Pfalz,641.5745964042158,600.0
Saarland,547.1945991253644,520.0
Sachsen,355.97331096581786,327.0
Sachsen_Anhalt,329.0611511371579,318.0
Schleswig_Holstein,612.862611119715,568.38
Thüringen,344.1958573264782,325.0
